,id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeam,primaryPosition
10,8477425,Miles Wood,/api/v1/people/8477425,Miles,Wood,44,1995-09-13,24,Buffalo,NY,USA,USA,"6' 2""",195,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
11,8477509,Mirco Mueller,/api/v1/people/8477509,Mirco,Mueller,25,1995-03-21,25,Winterthur,,CHE,CHE,"6' 3""",210,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
12,8477541,Dakota Mermis,/api/v1/people/8477541,Dakota,Mermis,32,1994-01-05,26,Alton,IL,USA,USA,"6' 0""",195,True,False,False,True,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
13,8478401,Pavel Zacha,/api/v1/people/8478401,Pavel,Zacha,37,1997-04-06,23,Brno,,CZE,CZE,"6' 3""",210,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
14,8478406,Mackenzie Blackwood,/api/v1/people/8478406,Mackenzie,Blackwood,29,1996-12-09,23,Thunder Bay,ON,CAN,CAN,"6' 4""",225,True,False,False,True,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
15,8479291,Kevin Rooney,/api/v1/people/8479291,Kevin,Rooney,16,1993-05-21,26,Canton,MA,USA,USA,"6' 2""",190,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
16,8479315,Joey Anderson,/api/v1/people/8479315,Joey,Anderson,14,1998-06-19,21,Roseville,MN,USA,USA,"5' 11""",190,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
17,8479407,Jesper Bratt,/api/v1/people/8479407,Jesper,Bratt,63,1998-07-30,21,Stockholm,,SWE,SWE,"5' 10""",175,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
18,8479415,Michael McLeod,/api/v1/people/8479415,Michael,McLeod,41,1998-02-03,22,Mississauga,ON,CAN,CAN,"6' 2""",188,True,False,False,True,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
19,8480002,Nico Hischier,/api/v1/people/8480002,Nico,Hischier,13,1999-01-04,21,Brig,,CHE,CHE,"6' 1""",175,True,True,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
20,8481559,Jack Hughes,/api/v1/people/8481559,Jack,Hughes,86,2001-05-14,18,Orlando,FL,USA,USA,"5' 11""",170,True,False,False,True,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
21,8475231,Casey Cizikas,/api/v1/people/8475231,Casey,Cizikas,53,1991-02-27,29,Toronto,ON,CAN,CAN,"5' 11""",195,True,False,False,False,L,I,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
22,8476917,Adam Pelech,/api/v1/people/8476917,Adam,Pelech,3,1994-08-16,25,Toronto,ON,CAN,CAN,"6' 3""",218,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
23,8470187,Johnny Boychuk,/api/v1/people/8470187,Johnny,Boychuk,55,1984-01-19,36,Edmonton,AB,CAN,CAN,"6' 2""",227,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
24,8471217,Andrew Ladd,/api/v1/people/8471217,Andrew,Ladd,16,1985-12-12,34,Maple Ridge,BC,CAN,CAN,"6' 3""",192,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
25,8471306,Thomas Greiss,/api/v1/people/8471306,Thomas,Greiss,1,1986-01-29,34,Fussen,,DEU,DEU,"6' 2""",232,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
26,8472382,Andy Greene,/api/v1/people/8472382,Andy,Greene,4,1982-10-30,37,Trenton,MI,USA,USA,"5' 11""",190,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
27,8473463,Leo Komarov,/api/v1/people/8473463,Leo,Komarov,47,1987-01-23,33,Narva,,EST,FIN,"5' 11""",209,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
28,8473504,Cal Clutterbuck,/api/v1/people/8473504,Cal,Clutterbuck,15,1987-11-18,32,Welland,ON,CAN,CAN,"5' 11""",216,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
29,8473544,Derick Brassard,/api/v1/people/8473544,Derick,Brassard,10,1987-09-22,32,Hull,QC,CAN,CAN,"6' 1""",202,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
30,8473575,Semyon Varlamov,/api/v1/people/8473575,Semyon,Varlamov,40,1988-04-27,31,Samara,,RUS,RUS,"6' 2""",205,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
31,8474066,Thomas Hickey,/api/v1/people/8474066,Thomas,Hickey,34,1989-02-08,31,Calgary,AB,CAN,CAN,"6' 0""",183,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
32,8474573,Josh Bailey,/api/v1/people/8474573,Josh,Bailey,12,1989-10-02,30,Bowmanville,ON,CAN,CAN,"6' 1""",200,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
33,8474586,Jordan Eberle,/api/v1/people/8474586,Jordan,Eberle,7,1990-05-15,29,Regina,SK,CAN,CAN,"5' 11""",187,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
34,8474709,Matt Martin,/api/v1/people/8474709,Matt,Martin,17,1989-05-08,30,Windsor,ON,CAN,CAN,"6' 3""",220,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
35,8475181,Nick Leddy,/api/v1/people/8475181,Nick,Leddy,2,1991-03-20,29,Eden Prairie,MN,USA,USA,"6' 0""",207,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
36,8475314,Anders Lee,/api/v1/people/8475314,Anders,Lee,27,1990-07-03,29,Edina,MN,USA,USA,"6' 3""",231,True,False,True,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
37,8475754,Brock Nelson,/api/v1/people/8475754,Brock,Nelson,29,1991-10-15,28,Warroad,MN,USA,USA,"6' 3""",212,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
38,8475832,Tom Kuhnhackl,/api/v1/people/8475832,Tom,Kuhnhackl,14,1992-01-21,28,Landshut,,DEU,DEU,"6' 2""",196,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
39,8476419,Jean-Gabriel Pageau,/api/v1/people/8476419,Jean-Gabriel,Pageau,44,1992-11-11,27,Ottawa,ON,CAN,CAN,"5' 10""",180,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
40,8476429,Scott Mayfield,/api/v1/people/8476429,Scott,Mayfield,24,1992-10-14,27,St. Louis,MO,USA,USA,"6' 5""",223,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
41,8477506,Ryan Pulock,/api/v1/people/8477506,Ryan,Pulock,6,1994-10-06,25,Dauphin,MB,CAN,CAN,"6' 2""",217,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
42,8477527,Ross Johnston,/api/v1/people/8477527,Ross,Johnston,32,1994-02-18,26,Charlottetown,PE,CAN,CAN,"6' 5""",235,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
43,8477936,Michael Dal Colle,/api/v1/people/8477936,Michael,Dal Colle,28,1996-06-20,23,Woodbridge,ON,CAN,CAN,"6' 3""",204,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
44,8478038,Devon Toews,/api/v1/people/8478038,Devon,Toews,25,1994-02-21,26,Abbotsford,BC,CAN,CAN,"6' 1""",191,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
45,8478445,Mathew Barzal,/api/v1/people/8478445,Mathew,Barzal,13,1997-05-26,22,Coquitlam,BC,CAN,CAN,"6' 0""",187,True,False,False,False,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
46,8478463,Anthony Beauvillier,/api/v1/people/8478463,Anthony,Beauvillier,18,1997-06-08,22,Sorel-Tracy,QC,CAN,CAN,"5' 11""",182,True,False,False,False,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
47,8479526,Otto Koivula,/api/v1/people/8479526,Otto,Koivula,21,1998-09-01,21,Nokia,,FIN,FIN,"6' 4""",219,True,False,False,True,L,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
48,8480865,Noah Dobson,/api/v1/people/8480865,Noah,Dobson,8,2000-01-07,20,Summerside,PE,CAN,CAN,"6' 4""",184,True,False,False,True,R,Y,"{'id': 2, 'name': 'New York Islanders', 'link': '/api/v1/teams/2'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
49,8474230,Micheal Haley,/api/v1/people/8474230,Micheal,Haley,38,1986-03-30,34,Guelph,ON,CAN,CAN,"5' 11""",202,True,False,False,False,L,I,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
50,8468685,Henrik Lundqvist,/api/v1/people/8468685,Henrik,Lundqvist,30,1982-03-02,38,Are,,SWE,SWE,"6' 1""",182,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
51,8471686,Marc Staal,/api/v1/people/8471686,Marc,Staal,18,1987-01-13,33,Thunder Bay,ON,CAN,CAN,"6' 4""",209,True,True,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
52,8474090,Brendan Smith,/api/v1/people/8474090,Brendan,Smith,42,1989-02-08,31,Mimico,ON,CAN,CAN,"6' 2""",200,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
53,8475184,Chris Kreider,/api/v1/people/8475184,Chris,Kreider,20,1991-04-30,28,Boxford,MA,USA,USA,"6' 3""",217,True,True,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
54,8475735,Greg McKegg,/api/v1/people/8475735,Greg,McKegg,14,1992-06-17,27,St. Thomas,ON,CAN,CAN,"6' 0""",192,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
55,8475855,Jesper Fast,/api/v1/people/8475855,Jesper,Fast,17,1991-12-02,28,Nassjo,,SWE,SWE,"6' 1""",191,True,True,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
56,8476458,Ryan Strome,/api/v1/people/8476458,Ryan,Strome,16,1993-07-11,26,Mississauga,ON,CAN,CAN,"6' 1""",193,True,False,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
57,8476459,Mika Zibanejad,/api/v1/people/8476459,Mika,Zibanejad,93,1993-04-18,26,Huddinge,,SWE,SWE,"6' 2""",208,True,True,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
58,8476858,Phillip Di Giuseppe,/api/v1/people/8476858,Phillip,Di Giuseppe,33,1993-10-09,26,Toronto,ON,CAN,CAN,"6' 0""",193,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
59,8476885,Jacob Trouba,/api/v1/people/8476885,Jacob,Trouba,8,1994-02-26,26,Rochester,MI,USA,USA,"6' 3""",209,True,False,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
60,8477402,Pavel Buchnevich,/api/v1/people/8477402,Pavel,Buchnevich,89,1995-04-17,24,Cherepovets,,RUS,RUS,"6' 3""",197,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
61,8477950,Tony DeAngelo,/api/v1/people/8477950,Tony,DeAngelo,77,1995-10-24,24,Sewell,NJ,USA,USA,"5' 11""",180,True,False,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
62,8477962,Brendan Lemieux,/api/v1/people/8477962,Brendan,Lemieux,48,1996-03-15,24,Denver,CO,USA,USA,"6' 1""",213,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
63,8478048,Igor Shesterkin,/api/v1/people/8478048,Igor,Shesterkin,31,1995-12-30,24,Moscow,,RUS,RUS,"6' 2""",182,True,False,False,True,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
64,8478550,Artemi Panarin,/api/v1/people/8478550,Artemi,Panarin,10,1991-10-30,28,Korkino,,RUS,RUS,"5' 11""",170,True,False,False,False,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
65,8479323,Adam Fox,/api/v1/people/8479323,Adam,Fox,23,1998-02-17,22,Jericho,NY,USA,USA,"5' 11""",181,True,False,False,True,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
66,8479324,Ryan Lindgren,/api/v1/people/8479324,Ryan,Lindgren,55,1998-02-11,22,Burnsville,MN,USA,USA,"6' 0""",191,True,False,False,True,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
67,8479328,Julien Gauthier,/api/v1/people/8479328,Julien,Gauthier,12,1997-10-15,22,Pointe-aux-Trembles,QC,CAN,CAN,"6' 4""",227,True,False,False,True,R,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
68,8479353,Brett Howden,/api/v1/people/8479353,Brett,Howden,21,1998-03-29,22,Calgary,AB,CAN,CAN,"6' 3""",197,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
69,8480078,Filip Chytil,/api/v1/people/8480078,Filip,Chytil,72,1999-09-05,20,Kromeriz,,CZE,CZE,"6' 2""",206,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
70,8480382,Alexandar Georgiev,/api/v1/people/8480382,Alexandar,Georgiev,40,1996-02-10,24,Ruse,,BGR,RUS,"6' 1""",178,True,False,False,False,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
71,8481554,Kaapo Kakko,/api/v1/people/8481554,Kaapo,Kakko,24,2001-02-13,19,Turku,,FIN,FIN,"6' 3""",199,True,False,False,True,L,Y,"{'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
72,8474037,James van Riemsdyk,/api/v1/people/8474037,James,van Riemsdyk,25,1989-05-04,30,Middletown,NJ,USA,USA,"6' 3""",217,True,False,False,False,L,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
73,8477502,Samuel Morin,/api/v1/people/8477502,Samuel,Morin,55,1995-07-12,24,Lac-Beauport,QC,CAN,CAN,"6' 6""",202,True,False,False,True,L,I,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
74,8478067,Oskar Lindblom,/api/v1/people/8478067,Oskar,Lindblom,23,1996-08-15,23,Gävle,,SWE,SWE,"6' 1""",191,True,False,False,False,L,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
75,8473485,Chris Stewart,/api/v1/people/8473485,Chris,Stewart,44,1987-10-30,32,Toronto,ON,CAN,CAN,"6' 2""",242,True,False,False,False,R,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
76,8470775,Nate Thompson,/api/v1/people/8470775,Nate,Thompson,44,1984-10-05,35,Anchorage,AK,USA,USA,"6' 1""",205,True,False,False,False,L,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
77,8470880,Brian Elliott,/api/v1/people/8470880,Brian,Elliott,37,1985-04-09,35,Newmarket,ON,CAN,CAN,"6' 2""",209,True,False,False,False,L,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
78,8471702,Matt Niskanen,/api/v1/people/8471702,Matt,Niskanen,15,1986-12-06,33,Virginia,MN,USA,USA,"6' 1""",203,True,False,False,False,R,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
79,8473512,Claude Giroux,/api/v1/people/8473512,Claude,Giroux,28,1988-01-12,32,Hearst,ON,CAN,CAN,"5' 11""",185,True,False,True,False,R,Y,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
